,customernumber,clientsegcd,client_e,ccmscustomernumber,crmsectorname,crmindustryname,requestingapplicationid,quoteid,modelid,version,countrycode,channelid,year,month,endofqtr,indirect,dombuyergrpid,dombuyergrpname,componentid,quantity,upgmes,list_price,tmc,quoted_price,comdelgpricel4,comrevcat,comrevdivcd,combrand,comgroup,comfamily,commt,commtm,comquotepricepofl,comdelgpricel4pofl,comcostpofl,comloglistprice,commtmdesc,commtmdesclocal,comcategory,comsubcategory,sbc1,sbc2,sbc3,sbc4,sbc5,sbc6,lvl1,lvl2,lvl3,lvl4,hwplatformid,ufc,featurequantity,quoteidnew,winloss,comlowpofl,commedpofl,comhighpofl,commedprice,dealsize,logdealsize,compctcontrib,quotetype,componentid_orig,com_cost_price,deal_size,ln_ds,com_contrib,discount,quant_intercept,value_score,ln_vs,pred_L,pred_M,pred_H,adj_pred_L,adj_pred_M,adj_pred_H,adj_price_L,adj_price_M,adj_price_H,cf,norm_op,price_opt,orig_OP,wp_opt,ci_low,ci_high
0,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,0,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,8335a,8335-GTXa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,8335GTX,BA600,PWR,POWERHW,0,,,,1,,,,,,,,B,11,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7475304656759739,1,26039.154884622138,4.415626884853866,0.4561954114939345,0.980367991015666,1.7615456508753935,0.6474280638488102,1.1176414405896786,1.5874201720705094,13880.438615748159,28080.74935818105,45918.1329422093,0.24772524102959595,0.9241791573921398,24064.84422047351,24064.84422047351,0.7507763675500111,0.808615376280302,1.0366804233506928
1,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,1,21,0,1643.25777,55.87089,1643.25777,0.0,S,U5,0,0,0,5608a,5608-B17a,1.0,0.0,0.03400007656741523,3.215705694480564,IBM Spectrum Control Standard Edition 3 Yr Reg (5608-B17),IBM Spectrum Control Standard Edition 3 Yr Reg (5608-B17),S,O,,,,,,,5608B17,B7TP5,SPEC,SSGSW,1,,,,1,,,,,,,,B,18,55.87089,99156.0374,11.504450023672542,0.0005634643281943012,0.8467214668094947,1,251.87614063950076,2.4011870302239218,0.46501449259991723,0.9887495678672272,1.6156924969949673,0.6474280638488102,1.1271966256963313,1.5874201720705094,134.2651604635161,273.94666773470846,444.16503385390246,0.22181890614230726,0.9260509494117684,233.25013917338177,233.25013917338177,0.7574249718768771,0.8075826199014507,1.040249696281158
2,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,2,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,6661a,6661-F8Aa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,1,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805,0.4562601680724501,0.9804295350963871,1.7604746831523956,0.6474280638488102,1.1177116022184417,1.5874201720705094,13415.646302479608,27142.15746217206,44380.5449868137,0.25630781582600165,0.9266369583939149,23320.87883623672,23320.87883623672,0.7481060070951158,0.8116592084111816,1.0387139724174614
3,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,3,21,0,350.02656,11.9076,350.02656,252.01912,S,Z4,0,0,0,5641a,5641-KL3a,1.0,0.7199999908578365,0.034019132719528486,2.5441009998468354,IBM Security Key Lifecycle Manager w/3 Yr SW S&S (5641-KL3),IBM Security Key Lifecycle Manager w/3 Yr SW S&S (5641-KL3),S,O,,,,,,,,,,,1,,,,1,,,,,,,,B,20,11.907600000000002,99156.0374,11.504450023672542,0.00012008951055561244,0.46212769095668754,1,188.26959405368754,2.274780186182506,0.4655678931928366,0.9892755149067783,1.6065401577810976,0.6474280638488102,1.1277962170868547,1.5874201720705094,100.3590383425747,204.87554955862709,331.99957091689043,0.0632476001228557,0.8876984689181722,167.12663038530425,167.12663038530425,0.7971000247122162,0.7582478832727044,1.0095466706825715
4,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,4,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,5639a,5639-VE1a,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,5639VE1,B5Y30,PWRL,PWRSW,0,,,,1,,,,,,,,B,7,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.9737559300502885,1,2706.755902462022,3.4324490924924524,0.46049969721013884,0.984458746173476,1.690359816504851,0.6474280638488102,1.1223049929797744,1.5874201720705094,1442.8639991740388,2931.1584741289594,4773.1647944059005,2.38313174606276,2.38313174606276,6450.55592,6450.55592,2.8222095467076134e-06,2.3593004286021326,2.4069630635233876
5,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,5,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,8335a,8335-GTGa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,8335GTG,BA600,PWR,POWERHW,0,,,,1,,,,,,,,B,6,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.6785888995726845,1,33149.63703669038,4.5204787775726025,0.9258753980046011,1.003158865203085,1.447765680325169,1.1436235469951885,1.236973640922922,1.2674401481105035,33761.67672355915,36579.78749878253,46673.64073697609,0.19458903615929352,1.1477251960001977,38046.67366527088,38046.67366527088,0.9461343982810982,1.122107106170491,1.1919998781405936
6,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,6,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,9008a,9008-F8Aa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,9,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805,0.4562601680724501,0.9804295350963871,1.7604746831523956,0.6474280638488102,1.1177116022184417,1.5874201720705094,13415.646302479608,27142.15746217206,44380.5449868137,0.25630781582600165,0.9266369583939149,23320.87883623672,23320.87883623672,0.7481060070951158,0.8116592084111816,1.0387139724174614
7,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,7,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,8001a,8001-F8Aa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,5,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805,0.4562601680724501,0.9804295350963871,1.7604746831523956,0.6474280638488102,1.1177116022184417,1.5874201720705094,13415.646302479608,27142.15746217206,44380.5449868137,0.25630781582600165,0.9266369583939149,23320.87883623672,23320.87883623672,0.7481060070951158,0.8116592084111816,1.0387139724174614
8,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,8,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,9223a,9223-F8Aa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,13,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805,0.4562601680724501,0.9804295350963871,1.7604746831523956,0.6474280638488102,1.1177116022184417,1.5874201720705094,13415.646302479608,27142.15746217206,44380.5449868137,0.25630781582600165,0.9266369583939149,23320.87883623672,23320.87883623672,0.7481060070951158,0.8116592084111816,1.0387139724174614
9,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,9,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,9223a,9223-F8Aa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,11,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805,0.4562601680724501,0.9804295350963871,1.7604746831523956,0.6474280638488102,1.1177116022184417,1.5874201720705094,13415.646302479608,27142.15746217206,44380.5449868137,0.25630781582600165,0.9266369583939149,23320.87883623672,23320.87883623672,0.7481060070951158,0.8116592084111816,1.0387139724174614
10,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,10,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,6911a,6911-F8Aa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,14,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805,0.4562601680724501,0.9804295350963871,1.7604746831523956,0.6474280638488102,1.1177116022184417,1.5874201720705094,13415.646302479608,27142.15746217206,44380.5449868137,0.25630781582600165,0.9266369583939149,23320.87883623672,23320.87883623672,0.7481060070951158,0.8116592084111816,1.0387139724174614
11,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,11,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,5639a,5639-SAPa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,3,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805,0.4562601680724501,0.9804295350963871,1.7604746831523956,0.6474280638488102,1.1177116022184417,1.5874201720705094,13415.646302479608,27142.15746217206,44380.5449868137,0.25630781582600165,0.9266369583939149,23320.87883623672,23320.87883623672,0.7481060070951158,0.8116592084111816,1.0387139724174614
12,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,12,21,0,4108.14444,139.67691,4108.14444,0.0,S,U5,0,0,0,5608a,5608-PC1a,1.0,0.0,0.03399999976631785,3.613645704738334,IBM Spectrum Control Standard Edition V5.2.12 (5608-PC1),IBM Spectrum Control Standard Edition V5.2.12 (5608-PC1),S,O,,,,,,,5608PC1,B7TP5,SPEC,SSGSW,1,,,,1,,,,,,,,B,19,139.67691,99156.0374,11.504450023672542,0.0014086576436746553,0.8708282155561983,1,530.6563480676825,2.7248133639191066,0.4635976784526346,0.9874030402055446,1.6391242819349416,0.6474280638488102,1.1256615540401895,1.5874201720705094,282.87180970533416,576.3688605250416,935.7734091281637,0.26321537565434894,0.9359146604689914,496.64905582748,496.64905582748,0.7452434972897471,0.8205330651737108,1.0479545562531156
13,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,13,21,0,14649.95755,0.91414,14649.95755,0.0,H,2D,0,0,0,2839a,2839-LF8a,1.0,0.0,6.239881561977632e-05,4.165836366271871,DS8000 series Function Authorization,DS8000 series Function Authorization,H,P,,,,,,,2839LF8,Function Authorizations,SSG,STORAGEHW,1,,,,1,,,,,,,,B,17,0.91414,99156.0374,11.504450023672542,9.219206656194996e-06,0.604828881384559,1,5789.240112702225,3.7626215626017054,0.12188650644009415,0.8188498921632449,1.691736199423614,0.4731349561496297,0.9335071947380702,1.6751738544339836,2255.232817703279,5214.570506192684,10773.253772394957,0.00015790327956760283,0.7072076263475962,4094.1947584604304,4094.1947584604304,0.7650272442624642,0.5822543512659061,0.8378871896900069
14,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,14,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,7063a,7063-F8Aa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,4,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805,0.4562601680724501,0.9804295350963871,1.7604746831523956,0.6474280638488102,1.1177116022184417,1.5874201720705094,13415.646302479608,27142.15746217206,44380.5449868137,0.25630781582600165,0.9266369583939149,23320.87883623672,23320.87883623672,0.7481060070951158,0.8116592084111816,1.0387139724174614
15,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,15,21,0,13057.20644,1591.9825,13057.20644,1591.9825,H,2D,0,0,0,2834a,2834-985a,1.0,0.12192366777039332,0.12192366777039332,4.115850270547992,DS8886,DS8886,H,P,,,,,,,2834985,High End Disk,SSG,STORAGEHW,0,,,,1,,,,,,,,B,15,1591.9825,99156.0374,11.504450023672542,0.016055325946294826,0.8533542684517486,1,1914.7835903703399,3.2821196969370527,-0.05802919535700274,0.6750475621925489,4.600533370995642,0.15236560514773406,0.7695693217133759,2.578230151111502,240.21018744640517,1421.8269942863737,5484.118385735926,0.8314164107141181,1.579843643127263,3025.058683210979,3025.058683210979,0.15601270912348705,1.3475403280961127,1.9001335284462144
16,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,16,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,5639a,5639-RH7a,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,5639RH7,B5TB3,POTH,PWRSW,0,,,,1,,,,,,,,B,2,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,1.023106215611306,1,-2383.1244776174703,,,,,,,,,,,-2.7067641579717,-2.7067641579717,6450.555919999999,6450.555919999999,,-99999999.0,-2.733831799551417
17,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,17,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,9009a,9009-F8Aa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,10,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805,0.4562601680724501,0.9804295350963871,1.7604746831523956,0.6474280638488102,1.1177116022184417,1.5874201720705094,13415.646302479608,27142.15746217206,44380.5449868137,0.25630781582600165,0.9266369583939149,23320.87883623672,23320.87883623672,0.7481060070951158,0.8116592084111816,1.0387139724174614
18,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,18,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,8005a,8005-F8Aa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,,,,,0,,,,1,,,,,,,,B,8,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7559845140051933,1,25167.22285355143,4.400835294772805,0.4562601680724501,0.9804295350963871,1.7604746831523956,0.6474280638488102,1.1177116022184417,1.5874201720705094,13415.646302479608,27142.15746217206,44380.5449868137,0.25630781582600165,0.9266369583939149,23320.87883623672,23320.87883623672,0.7481060070951158,0.8116592084111816,1.0387139724174614
19,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,19,3,0,103137.81009,6450.55592,93855.40718,7167.05433,H,2D,0,0,0,9006a,9006-22Pa,0.909999999981578,0.06949007666292209,0.06254307624304921,5.0134179058575326,TS1080 Ultrium 8 Tape Drive,TS1080 Ultrium 8 Tape Drive,H,P,,,,,,,900622P,BA600,PWR,POWERHW,0,,,,1,,,,,,,,B,12,6450.55592,99156.0374,11.504450023672542,0.06505459565692567,0.7475304656759739,1,26039.154884622138,4.415626884853866,0.4561954114939345,0.980367991015666,1.7615456508753935,0.6474280638488102,1.1176414405896786,1.5874201720705094,13880.438615748159,28080.74935818105,45918.1329422093,0.24772524102959595,0.9241791573921398,24064.84422047351,24064.84422047351,0.7507763675500111,0.808615376280302,1.0366804233506928
20,760-69018B,E,1,0035166514,Commercial,Commercial,EPRICER,5131290-JP,CHW_JP,2,JP,J,2018,6,1,1,DB500JWT,ROLEX SA,20,21,0,3619.53856,597.34656,3619.53856,597.34656,H,2D,0,0,0,2834a,2834-85Ea,1.0,0.16503389868569324,0.16503389868569324,3.5586532076548996,DS8886 Expansion Unit,DS8886 Expansion Unit,H,P,,,,,,,283485E,High End Disk,SSG,STORAGEHW,1,,,,1,,,,,,,,B,16,597.34656,99156.0374,11.504450023672542,0.0060243085107392555,0.7764730267042923,1,809.0644990439043,2.9079831451750375,-0.015839648907990833,0.6720501762504391,5.239590116279134,0.16644073956778865,1.6284360606199735,3.4544884871672763,110.8734512440207,1271.2564457588337,3104.7907529340077,0.7383176010143842,1.8292796367287336,1480.005212901148,1480.005212901148,0.42047026947094224,1.571263306965426,2.116180272118918
